file_in,title,journal,count_prereg,prereg_context,prereg_term_context
10.1007_s11109-013-9239-z,Do online advertisements increase political candidates' name recognition or favorability? {Evidence} from randomized field experiments,Political Behavior,1,"herwise. 16 best practices in randomized trials include the pre-registration of an analysis plan to limit researcher discretion (casey et al. 2012). 272 polit behav (2014) 36:263–289 123 politically meaningful impacts. indeed, the results cast doubt on the proposition that dozens of online ads increased the candidate’s name recognition in his district by more than approximately 1.8 % points, which marks the upper end of the 95 % confidence interval. because only "," the launch of the survey, in accordance with the authors’ ex ante analysis plan, registered at the egap website.16 finally, we present the results from regressions that control for blocks and form confidence intervals using clustered standard errors and an assumed normal sampling distribution. across four dependent variables, the results of the experi"
10.1007_s11109-018-9491-3,Anxious voters in the 2016 u.s. {Election}: an analysis of how they decided from the erpc2016,Political Behavior,17,"tudy’s release. in so doing, it serves as a model for other preregistered and potentially pre- accepted research. consistent with past findings, this study shows that anxious vot- ers in 2016 were less likely to rely on past partisanship and more likely to base deci- sions on personal qualities. however, anxiety did not condition the effect of issues in the election. further, donald trump faced no more anxiety among republican voters than mitt romney did in 2012","by, dave peterson, and keith t. poole. the preregistered research design is available at http://www.osf.io/34cfg​/regis​ter/57ace​80a59​4d900​ 00154​03c6. complete replication information is available at https​://doi.org/10.7910/dvn/s2vgj​1. previous versions of this project were presented at the political studies association’s 2017 political methodol"
"","","",,"ty served as unique features of the 2016 election. keywords preregistration · voting behavior · elections · political psychology · bayesian statistics for helpful research assistance, i thank ryan bakker, arthur lupia, brendan nyhan, andreas murr, ken benoit, michael breen, donnacha ó beacháin, bill jacoby, dave peterson, and keith t. poole. the preregistered research design is available at http://www.osf.io/34cfg​/regis​ter/57ace​80a59​4d900​ 00154​03c6. comple","aiken 1987; petty and cacioppo 1981; petty and cacioppo 3 full details are available here: https​://osf.io/34cfg​/regis​ter/57ace​80a59​4d900​00154​03c6. 4 for more information, see: http://www.erpc2​016.com/. 5 the originally reported version of the 2012 model actually had a coding error in it due to a mistake in specifying a boolean statement. hence"
"","","",,"",ed in experiment 2) reflect decisions made prior to data collection and that were documented in two pre-analysis plans registered with evidence in governance and politics (egap). the pre-analysis plans are filed jointly under egap id 20170725aa. materials to replicate the analyses presented in this article are available here: https​://doi.org/10.7910/ dvn/xyya
"","","",,"",that were documented in two pre-analysis plans registered with evidence in governance and politics (egap). the pre-analysis plans are filed jointly under egap id 20170725aa. materials to replicate the analyses presented in this article are available here: https​://doi.org/10.7910/ dvn/xyyaq​c. 14 wic is a federally funded program that targets low-incom
"","","",,"",ocumented in two pre-analysis plans registered with evidence in governance and politics (egap). the pre-analysis plans are filed jointly under egap id 20170725aa. materials to replicate the analyses presented in this article are available here: https​://doi.org/10.7910/ dvn/xyyaq​c. 14 wic is a federally funded program that targets low-income pregnant and post
"","","",,"","red with evidence in governance and politics (egap). the pre-analysis plans are filed jointly under egap id 20170725aa. materials to replicate the analyses presented in this article are available here: https​://doi.org/10.7910/ dvn/xyyaq​c. 14 wic is a federally funded program that targets low-income pregnant and postpartum women, infants, and children"
10.1007_s11558-017-9293-0,The first image reversed: igo signals and mass political attitudes,The Review of International Organizations,1,"university of colorado at boulder on february 25, 2016. our pre-registration for this study can be found at https://osf.io/ek4zx/. the first image reversed: igo signals and mass political attitudes 601 the experimental treatment in each scenario is the randomized exposure to an igo signal. in the economic scenario, the signal concerns a report from the world trade organization (wto) about the government’s (non)compliance with its free trade rules. in the conflict","lorado at boulder on february 25, 2016. our pre-registration for this study can be found at https://osf.io/ek4zx/. the first image reversed: igo signals and mass political attitudes 601 the experimental treatment in each scenario is the randomized exposure to an igo signal. in the economic scenario, the signal concerns a report from the world trade or"
10.1007_s11558-018-9331-6,The elusive sources of legitimacy beliefs: civil society views of international election observers,The Review of International Organizations,1,"nd zürn 2019). to test our ideas, we used a series of three pre-registered survey experiments involving real and hypothetical international election monitoring organizations.4 we invited hundreds of ngos based all over the world, in their roles as representatives of civil society, to share their evaluations of international election observation groups that could be invited to future elections in their country. we randomly varied informational treatments about cha","ed and later seen by the electoral observation groups. 4 we registered the experimental designs and pre-analysis plans here: http://egap.org/design-registrations, numbers 20151112ab and 20160224aa. the elusive sources of legitimacy beliefs: civil society views of... 687 our focus on international election monitoring organizations as a case enables us to extend"
"","","",,"","al observation groups. 4 we registered the experimental designs and pre-analysis plans here: http://egap.org/design-registrations, numbers 20151112ab and 20160224aa. the elusive sources of legitimacy beliefs: civil society views of... 687 our focus on international election monitoring organizations as a case enables us to extend the study of legitimacy"
"","","",,"ioral and attitudinal outcome measures. for analysis and as pre-registered, we combined these into an action index. appendix a provides the wording for the individual items used to construct the index. action focuses on the actions citizens might take to moni- tor and sanction the government for its use of the revenues, and it allows us to test our hypothesis. the index includes items that ask citizens whether they would support an independent agency to track the","shua kertzer, randall stone, laura paler, dillon laaker, xiaojun li, and christopher kilby, and the egap and peio audiences for helpful comments. we thank fmms co. (gh.) ltd and ignosi research for their survey help. we especially owe many thanks to the late stephen knack, who launched the research agenda, inspired the research question, and collaborat"
10.1007_s12116-020-09302-9,Rethinking foreign aid and legitimacy: views from aid recipients in kenya,Studies in Comparative International Development,1,"review appears in the appendix. 4 blair and roessler (2018) preregistered their hypothesis that attributing aid projects to a foreign donor would reduce tax compliance, their measure of government legitimacy. this is further evidence that most scholars have, in their applications of existing theories, predicted a negative relationship between foreign aid and government legitimacy. see http://egap.org/ registration-details/1285. 5 while there is also surprising n","eories, predicted a negative relationship between foreign aid and government legitimacy. see http://egap.org/ registration-details/1285. 5 while there is also surprising new evidence that foreign aid improves political institutions (see jones and tarp 2016), this is a separate mechanism from the one invoked in predictions about government legitimacy. m"
10.1017_gov.2018.14,Putting politics in the lab: a review of lab experiments in political science,Government and Opposition,2,"ent and politics (egap, egap.org), in which researchers can pre-register their experiment.12 they write an outline detailing their design, including how many subjects they want to recruit and how they intend to analyse the results. the website then saves this document, so that when the paper is submitted for publication in a journal, the reader can easily check whe- ther what is reported ﬁts the initial intentions of the researcher. it is important to note that t","org/core/terms. experimentalists has created the online system evidence in government and politics (egap, egap.org), in which researchers can pre-register their experiment.12 they write an outline detailing their design, including how many subjects they want to recruit and how they intend to analyse the results. the website then saves this document, so"
"","","",," that, at time of writing this line, egap is mostly used to pre-register ﬁeld experiments. 13 there are a few exceptions of political science studies published before 1960, such as gosnell (1926) or eldersveld (1956). references adida, c.l., laitin, d.d. and valfort, m.-a. (2016), ‘“one muslim is enough!” evidence from a field experiment in france’, annals of economics and statistics, 121/122: 121–60. amorim neto, o. and cox, g.w. (1997), ‘electoral institutions,","re/terms. experimentalists has created the online system evidence in government and politics (egap, egap.org), in which researchers can pre-register their experiment.12 they write an outline detailing their design, including how many subjects they want to recruit and how they intend to analyse the results. the website then saves this document, so that "
"","","",,"","supposed to remain ideologically neutral (willis 2014). 12 note that, at time of writing this line, egap is mostly used to pre-register ﬁeld experiments. 13 there are a few exceptions of political science studies published before 1960, such as gosnell (1926) or eldersveld (1956). references adida, c.l., laitin, d.d. and valfort, m.-a. (2016), ‘“one mus"
"","","",,": what’s in it for you? http://andrewgelman.com/2014/03/10/ preregistration-whats/. gelman, andrew. 2015. the connection between varying treatment effects and the crisis of unreplicable research. journal of management 41(2):632–643. gelman, andrew, john carlin, hal stern, david dunson, aki vehtari, and donald rubin. 2013. bayesian data analysis. 3rd edn. london: chapman and hall/crc. gerber, alan, and neil malhotra. 2008. do statistical reporting standards affec","politics network allows researchers to register both experimental and observational studies (http://egap.org/content/registration). similarly, the american economic association and the center for open science have recently set up similar registries. 465 downloaded from https://www.cambridge.org/core. australian national university, on 11 aug 2021 at 21"
"","","",,"quality of information sources in the same way. against our pre-registered expectations, we find that copartisans, opposition partisans, and other/non-partisans demonstrate very similar patterns of discernment of more versus less credible information. in general, these results suggest that a wide variety of voters in argentina—as in brazil—can distinguish between different types of political information and make informed voting decisions as a result. supplementar","despread name recognition and is readily identified as being in opposition to the peronist party. 6 egap registration id (20150603aa), available at http://egap.org/registration/927. h1, h2, and h3b and h3c in this article follow directly from the pap. although h3a was implicit in our thinking, we did not explicitly pre-register that hypothesis. the pap"
"","","",,"","being in opposition to the peronist party. 6 egap registration id (20150603aa), available at http://egap.org/registration/927. h1, h2, and h3b and h3c in this article follow directly from the pap. although h3a was implicit in our thinking, we did not explicitly pre-register that hypothesis. the pap also developed a hypothesis about the interaction betw"
"","","",,"","kézdi, and péter kardos and after a buffer period of one month. we regis- tered our design in the egap repository (http://egap. org/design-registrations, id: 20161128aa) before we started the data collection. all analyses specified in the pap were implemented and are reported in the paper. we provide the full list of departures from the pap in the su"
"","","",,"","s and after a buffer period of one month. we regis- tered our design in the egap repository (http://egap. org/design-registrations, id: 20161128aa) before we started the data collection. all analyses specified in the pap were implemented and are reported in the paper. we provide the full list of departures from the pap in the supplementary material (sm"
10.1017_s0003055418000849,"Participation, {Government} {Legitimacy}, and {Regulatory} {Compliance} in {Emerging} {Economies}: {A} {Firm}-{Level} {Field} {Experiment} in {Vietnam",American Political Science Review,2,"oryﬂoorasanoutcomevariable for regulatory compliance in our pre-registered analysis plan. participation, government legitimacy, and regulatory compliance in emerging economies 541 downloaded from https://www.cambridge.org/core. australian national university, on 19 jul 2021 at 02:03:08, subject to the cambridge core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/s0003055418000849 comprises regulatory compliance. when door"," and online appendix can be found on the apsr’s dataverse: https://doi.org/ 10.7910/dvn/ianhog. the pre-analysis plan for this experiment can be found at http://egap.org/registration/704. this experiment received irb approval from national university of singapore and duke university on june 25, 2015 (co469). received: november 11, 2017; revised: october 31, 20"
"","","",,"iated with between17.3% higher access to the factory in the pre-registered model and 9.9% when auditor ﬁxed effects are included, and between 6.4 and 13.1 percentage points greater overall compliance, although the result with auditor ﬁxed effects is only signiﬁcant at the 0.1 level. the fact that the coefﬁcient increases substantively when commenting ﬁrms are dropped is consistent with the legitimacy mechanism and not the positive or the negative form of the subs","tps://doi.org/ 10.7910/dvn/ianhog. the pre-analysis plan for this experiment can be found at http://egap.org/registration/704. this experiment received irb approval from national university of singapore and duke university on june 25, 2015 (co469). received: november 11, 2017; revised: october 31, 2018; accepted: november 9, 2018. first published onlin"
10.1017_s0003055419000194,Declaring and {Diagnosing} {Research} {Designs,American Political Science Review,4,"s.” exantedeclarationscanbeusedtoimprovedesignsandfacilitatepreregistration,analysis,andreconciliationof intendedandactualanalyses.expostdeclarationsareusefulfordescribing,sharing,reanalyzing,andcritiquing existing designs. we provide open-source software, declaredesign, to implement the proposed approach. a s empirical social scientists, we routinely face two research design problems. first, we need to select high-quality designs, given resource constraints. se","rk was supported in part by a grant from the laura and john arnold foundation and seed funding from egap—evidence in governance and politics. errors remain the responsibility of the authors. we thank the associate editor and three anonymous reviewers for generous feedback. in addition, we thank peter aronow, julian brückner, adrian duşa adam glynn, d"
"","","",,"tions to reduce this kind of bias focus on various types of preregistration of analysis strategies by researchers (casey, glennerster, and miguel 2012; green and lin 2016; nosek et al. 2015; rennie 2004; zarin and tse 2008). study registries are now operating in numerous areas of social science, including those hosted by the american economic association, evidence in gov- ernance and politics, and the center for open science. bias may also arise from reviewers b","nd the eu- ropean field experiments summer school; as well as participants at the epsa2016,apsa2016,egap18,bitss2017,andspsp2018meetings for helpful comments. we thank clara bicalho, neal fultz, sisi huang, markus konrad, lily medina, pete mohanty, aaron rudkin, shikhar singh, luke sonnet, and john ternovski for their many contributions to thebroaderpr"
10.1017_s0003055419000698,Can {Economic} {Assistance} {Shape} {Combatant} {Support} in {Wartime}? {Experimental} {Evidence} from {Afghanistan,American Political Science Review,1," 6-month tvet courses. please note, these analyses were not pre-registered in our pap. 20 we do not use the bounds analysis proposed by lee (2002) because it requires the assumption of monotonicity: treatment assignment can only affectsampleselectioninonedirection.simpletwo-sidedt-testsinsection s5 of the si show that we cannot reject the null hypotheses that those assigned to tvet or uct treatments are no more or less likely to attrite than those assigned to con","mercy corps, usip, or the us government. the authors declare they have no conﬂicts of interest. our pre-analysis plan was archived in the evidence in governance and politics (egap) repository (#20150928aa). replication ﬁles, including r code and data, are available at the american political science review dataverse (https://doi.org/10.7910/dvn/aqhptt). receive"
"","","",,"","onﬂicts of interest. our pre-analysis plan was archived in the evidence in governance and politics (egap) repository (#20150928aa). replication ﬁles, including r code and data, are available at the american political science review dataverse (https://doi.org/10.7910/dvn/aqhptt). received: april 5, 2018; revised: april 21, 2019; accepted: october 10, 20"
10.1017_s0003055420000283,#{No2Sectarianism}: {Experimental} {Approaches} to {Reducing} {Sectarian} {Hate} {Speech} {Online,American Political Science Review,8," response to a later stimulus. 8 subgroup analyses were not preregistered. 9 these users may also be more susceptible to treatments by “high status individuals” as munger (2017b) demonstrates. 10 we provide background on the lebanese context in our discussion of the survey experiment. alexandra a. siegel and vivienne badaan 838 downloaded from https://www.cambridge.org/core. australian national university, on 19 jul 2021 at 00:33:04, subject to the cambridge cor",anked by expected effect size in table 1) were registered with evidence in governance and politics (egap) before collecting data or conducting our analyses.19 twitter experiment experimental design we first conducted an experiment in which we replied to arab twitter users who had regularly tweeted hostile sectarian language with a randomly assigned cou
"","","",,"ey 2001).14 11 these exploratory subgroup analyses were not preregistered. 12 for example, subjects may assess outgroup members more nega- tively in surveys or choose to allocate more resources to members of their ingroup in a laboratory setting (mullen, brown, and smith 1992; rabbie and horwitz 1969; tajfel et al. 1971). 13 see, for example, charnysh, lucas, and singh (2015); dovidio, gaertner, and loux (2000); gaertner et al. (2000); gaertner et al. (2016); ho",sanctioning message with no prime will reduce the use of and support for sectarian hate speech. 19 egap id: 20170913ab. 20 our design was adapted from a method developed by munger (2017b) to experimentally reduce anti-black racist harassment on twitter. #no2sectarianism 841 downloaded from https://www.cambridge.org/core. australian national university
"","","",,"",at the american political science review dataverse: https://doi.org/10.7910/ dvn/bgcvow. the study preanalysis plan is registered with egap at http://egap.org/registration/4993 (further details and code are registered at osf at https://dx.doi.org/ 10.17605/osf.io/dy9uf). deviations from the pap are described in appendix j. acknowledgements we are grateful to
"","","",,"","eview dataverse: https://doi.org/10.7910/ dvn/bgcvow. the study preanalysis plan is registered with egap at http://egap.org/registration/4993 (further details and code are registered at osf at https://dx.doi.org/ 10.17605/osf.io/dy9uf). deviations from the pap are described in appendix j. acknowledgements we are grateful to emily allendorf, albert na, "
"","","",,"",": https://doi.org/10.7910/ dvn/bgcvow. the study preanalysis plan is registered with egap at http://egap.org/registration/4993 (further details and code are registered at osf at https://dx.doi.org/ 10.17605/osf.io/dy9uf). deviations from the pap are described in appendix j. acknowledgements we are grateful to emily allendorf, albert na, jacque- lyn ngu"
"","","",,"","gistered with egap at http://egap.org/registration/4993 (further details and code are registered at osf at https://dx.doi.org/ 10.17605/osf.io/dy9uf). deviations from the pap are described in appendix j. acknowledgements we are grateful to emily allendorf, albert na, jacque- lyn nguyen, jinqi song, and pei yin teo for excellent research assistance. we"
"","","",,"","g/registration/4993 (further details and code are registered at osf at https://dx.doi.org/ 10.17605/osf.io/dy9uf). deviations from the pap are described in appendix j. acknowledgements we are grateful to emily allendorf, albert na, jacque- lyn nguyen, jinqi song, and pei yin teo for excellent research assistance. we thank the many authors included in "
10.1017_s0003055420001057,Family {Matters}: {How} {Immigrant} {Histories} {Can} {Promote} {Inclusion,American Political Science Review,5," 2017 and 2019 (si-b). while the first two studies were not preregistered, they consistently showed an effect of priming family history. we therefore developed and preregistered a third study to explicitly test this effect and the role of empathy as a mediator. the third study was longer than the first two and focused squarely on refugees and immigration.4 research design details, summary statistics, balance tests, tests of heteroge- neous treatment effects, irb","s from 1 to 7, with 7 indicating support for more open immigration (95% confidence interval). 4 the preanalysis plan can be found here: https://osf.io/cx2zp. 5 the first study asked about the first generation to immigrate. the second and third studies used the language above to reflect the experiences of african american descendants of slavery as well. native"
"","","",,"ffect of priming family history. we therefore developed and preregistered a third study to explicitly test this effect and the role of empathy as a mediator. the third study was longer than the first two and focused squarely on refugees and immigration.4 research design details, summary statistics, balance tests, tests of heteroge- neous treatment effects, irb approval, and the prea- nalysis plan are in the si. in each survey, respondents were randomly assigned ",more open immigration (95% confidence interval). 4 the preanalysis plan can be found here: https://osf.io/cx2zp. 5 the first study asked about the first generation to immigrate. the second and third studies used the language above to reflect the experiences of african american descendants of slavery as well. native americans were not included in the
"","","",,"","uasive? the household budget analogy and public support for austerity.” working paper. doi:10.31235/osf.io/7qa2b. bearce, david h., and kim-lee tuxhorn. 2015. “when are monetary policy preferences egocentric? evidence from american surveys and an experiment.” american journal of political science 61 (1): 178–93. beazer, quintin h., and byungwon woo. 2"
10.1017_s0007123419000322,Escaping the disengagement dilemma: two field experiments on motivating citizens to report on public services,British Journal of Political Science,14,"stain citizen engagement. we test these expectations in two pre-registered field experiments targeting improvements in solid-waste services that were conducted in close partnership with the kampala capital city authority (kcca), the government of uganda’s capital city. our research team recruited citizen reporters and prompted them to send reports over a number of months to the kcca about waste services. we thus study a crowdseeding platform, in which specific re","for participation boosted retention by 20 per cent over one year. in a fixed-wage task experiment, kosfeld and neckermann (2011) learned that the chance to be awarded a purely symbolic card signed by the president of the organization significantly boosted achievement. these kinds of results speak to more general recognition of how social acknowledgeme"
"","","",,"open crowdsourcing platform with many potential reporters.1 pre-registered hypotheses based on these theoretical considerations, we pre-registered the following hypotheses:2 hypothesis 1a: nomination by neighbors will increase reporting. hypothesis 1b: nomination by local council chairs will increase reporting. hypothesis 2: announcement by the local council chair recognizing reporters will increase reporting. hypothesis 3: responsiveness to citizen reports will ","odels: the case of kampala city. journal of the air & waste management association 65(2), 197–205. kosfeld m and neckermann s (2011) getting more work for nothing? symbolic awards and worker performance. american economic journal: microeconomics 3(3), 86–99. mansuri g and rao v (2013) can participation be induced? some evidence from developing countri"
10.1017_s0007123419000462,Does electing extremist parties increase violence and intolerance?,British Journal of Political Science,1,"the research design, measurement and analysis strategy were pre-registered.1 the results of our analysis are mixed yet point in a consistent direction. we observe a rise in religious violence following the election of additional islamist party legislators, although conflict events are rare in the datasets we examine and the results are sensitive to the choice of violence measure employed. analyzing nationwide surveys of popular attitudes, we show that islamist ru","rs worsen religious hostility in the areas they represent. © cambridge university press 2019. 1 see egap registration 20170527aa, accessible at https://egap.org/registration/2565. british journal of political science (2021), 51, 1340–1347 doi:10.1017/s0007123419000462 background indonesia is an 18,000-island archipelago in southeast asia. it is the wor"
"","","",,"","esent. © cambridge university press 2019. 1 see egap registration 20170527aa, accessible at https://egap.org/registration/2565. british journal of political science (2021), 51, 1340–1347 doi:10.1017/s0007123419000462 background indonesia is an 18,000-island archipelago in southeast asia. it is the world’s fourth most popu- lous nation. free and fair el"
10.1017_s000712342000037x,"More accurate, but no less polarized: comparing the factual beliefs of government officials and the public",British Journal of Political Science,16,"or(s), 2020. published by cambridge university press. 1 our preregistered hypotheses and analyses focus exclusively on factual belief polarization. we hypothesized that, because elites tend to be more polarized than the public on policy preferences, they would also be more polarized on matters of opin- ion. as we discuss below, however, our results are more easily understood when considering factual accuracy directly. british journal of political science (2021),","h we expected would be more common 3 our study was preregistered and can be found online at https://osf.io/qap3c. the preregistration discusses additional ana- lyses that would pair elite data from the national candidate survey (ncs) with public data from the american national election studies. we lack access to the ncs data, so these analyses are omi"
