Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold,
British Journal of Politics & International Relations,1369-1481,1467-856X,"INTERNATIONAL RELATIONS - SSCI","1,642",2.422,"Q2",1.73,22.09%,
International Relations of the Asia-Pacific,1470-482X,1470-4838,"INTERNATIONAL RELATIONS - SSCI","387",2.324,"Q2",1.15,16.00%,
EMERGING MARKETS FINANCE AND TRADE,1540-496X,1558-0938,"INTERNATIONAL RELATIONS - SSCI","2,849",2.315,"Q2",0.76,0.43%,
Journal of International Relations and Development,1408-6980,1581-1980,"INTERNATIONAL RELATIONS - SSCI","695",2.200,"Q2",1.25,0.00%,
Journal of Intervention and Statebuilding,1750-2977,1750-2985,"INTERNATIONAL RELATIONS - SSCI","669",2.200,"Q2",1.30,9.71%,
STUDIES IN COMPARATIVE INTERNATIONAL DEVELOPMENT,0039-3606,1936-6167,"INTERNATIONAL RELATIONS - SSCI","1,384",2.159,"Q2",0.82,22.73%,
Globalizations,1474-7731,1474-774X,"INTERNATIONAL RELATIONS - SSCI","1,762",2.155,"Q2",1.52,5.73%,
International Relations,0047-1178,1741-2862,"INTERNATIONAL RELATIONS - SSCI","892",2.135,"Q2",0.91,20.95%,
BULLETIN OF THE ATOMIC SCIENTISTS,0096-3402,1938-3282,"INTERNATIONAL RELATIONS - SSCI","749",2.092,"Q2",0.57,0.72%,
Global Policy,1758-5880,1758-5899,"INTERNATIONAL RELATIONS - SSCI","1,402",2.084,"Q2",0.99,17.43%,
European Security,0966-2839,1746-1545,"INTERNATIONAL RELATIONS - SSCI","545",1.942,"Q2",1.70,11.24%,
Asia Europe Journal,1610-2932,1612-1031,"INTERNATIONAL RELATIONS - SSCI","368",1.846,"Q3",0.85,19.32%,
European Journal of International Law,0938-5428,1464-3596,"INTERNATIONAL RELATIONS - SSCI","1,852",1.833,"Q3",1.03,11.90%,
Ethics & International Affairs,0892-6794,1747-7093,"INTERNATIONAL RELATIONS - SSCI","749",1.825,"Q3",0.72,2.22%,
Foreign Policy Analysis,1743-8586,1743-8594,"INTERNATIONAL RELATIONS - SSCI","829",1.776,"Q3",1.00,10.87%,
Peacebuilding,2164-7259,2164-7267,"INTERNATIONAL RELATIONS - SSCI","346",1.750,"Q3",0.89,6.45%,
SURVIVAL,0039-6338,1468-2699,"INTERNATIONAL RELATIONS - SSCI","1,208",1.669,"Q3",0.89,0.00%,
World Trade Review,1474-7456,1475-3138,"INTERNATIONAL RELATIONS - SSCI","476",1.596,"Q3",1.06,7.29%,
Human Rights Law Review,1461-7781,1744-1021,"INTERNATIONAL RELATIONS - SSCI","639",1.569,"Q3",1.11,7.87%,
